"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2018625_1.EB29.05.19","X2018625_1.LB28.05.19","X2018625_1.LB29.05.19","X2018625_10","X2018625_11","X2018625_12","X2018625_13","X2018625_14","X2018625_16","X2018625_17","X2018625_18","X2018625_19","X2018625_2.EB28.05.19","X2018625_20","X2018625_27","X2018625_28","X2018625_31","X2018625_35","X2018625_36","X2018625_38","X2018625_4","X2018625_42","X2018625_44","X2018625_7","X2018625_9","X2019629_12","X2019629_13","X2019629_14","X2019629_19","X2019629_20","X2019629_21","X2019629_23","X2019629_24","X2019629_27","X2019629_29","X2019629_3","X2019629_30","X2019629_4","X2019629_5","X2019629_8","X2019631_10","X2019631_11","X2019631_14","X2019631_15","X2019631_16","X2019631_17","X2019631_18","X2019631_19","X2019631_1EB171221","X2019631_1LB201221","X2019631_2","X2019631_20","X2019631_21","X2019631_22","X2019631_23","X2019631_24","X2019631_25","X2019631_26","X2019631_27","X2019631_28","X2019631_29","X2019631_2EB091221","X2019631_2EB171221","X2019631_3","X2019631_30","X2019631_31","X2019631_32","X2019631_33","X2019631_36","X2019631_37","X2019631_38","X2019631_39","X2019631_4","X2019631_40","X2019631_41","X2019631_42","X2019631_43","X2019631_44","X2019631_5","X2019631_6","X2019631_7","X2019631_8","X2019631_9","X2019631_EB25022022","X2019631_LB22022022","X2019631_LB28022022","Mock_v4_NE_br1","Mock_v4_NE_br2","Mock_v4_NE_br3","NTC_NE"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_001087826",1,0.810344827586207,121126,0,2,1,0,132,0,6550,3,20,58,1005,22,1078,13,598,54,17,28,5,9,24,0,3,24,0,303,26742,3,3,0,3897,9,0,0,0,288,0,2515,303,0,0,0,27,0,17,6,0,0,0,0,0,39,15,3,1,165,0,12,204,1,755,0,0,32,1,66951,456,265,156,0,5,0,96,0,216,1,12,1,3,7848,0,87,2,20,0,0,0,15,5,0
NA,NA,NA,NA,NA,NA,NA,"GG01_000004055",0.55026455026455,0.55026455026455,35785,0,0,0,2,0,0,2177,0,6,12,11,0,0,0,0,23,0,0,7,138,1566,0,0,1758,0,13020,1878,1428,30,72,0,114,516,18,1455,42,0,1220,39,33,296,0,0,3,1,0,293,1807,0,0,0,0,57,12,0,0,8,6,14,0,15,0,0,125,13,24,2633,94,39,13,2605,13,1923,14,47,0,34,0,63,0,0,18,0,0,0,0,0,5,45,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_000023585",0.931,0.812154696132597,151548,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,6,9,0,0,9,0,0,0,6,3,0,15,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,3,0,0,3,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,142060,9380,15,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG01_000288376",1,0.852272727272727,6735730,0,0,2,0,8,2,1,18479,17,2,14,1,0,0,0,1,1,1,10172,16,9,6,1,0,2,3,15,68673,18,21,6,768,6,12,6,6903,175581,28410,12,3,4,1,5913,0,3,20097,0,0,0,0,0,6088,0,3,0,0,39609,84,34,11,1,0,6,1,0,24,1,23490,97563,5,17,63838,5,13,0,84610,4,4,2,14964,3,1,7,0,2,0,3168475,1520610,1381065,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG01_001256493",0.948,0.870786516853933,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_000586255",0.965,0.959537572254335,169560,0,0,1,0,1,0,4761,0,7,0,2,0,0,0,0,0,0,0,1,1310,1,3595,0,6,0,4326,21294,801,0,5601,0,3,15852,0,31203,2919,3,29265,9,3,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,6,3962,0,0,0,0,0,0,6498,0,19672,186,1,0,5838,0,1,2444,9284,0,0,1,0,0,0,0,0,0,0,10,10,0,0
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Trigonostigma","Trigonostigma espei","GG01_000031068",0.977,0.977272727272727,735,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,40,0,0
"Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia sphenops","GG01_000165383",0.943,0.943502824858757,158983,16,35,43,51,43,53,87,9,49,63,58,30,56,37,54,52,32,18,33,57,51,60,55,300,23,210,156,78,153,90,90,84,75,153,261,123,216,305,174,36,45,12,56,48,58,105,25,43,129,135,177,69,180,192,41,45,70,57,49,38,44,66,81,85,43,246,46,69,210,55,44,60,46,30,48,50,44,62,31,78,66,39,35,46,34,52,85110,66580,180,260
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_001177319",0.927,0.891428571428571,5676515,8,1,37,41,55,44615,4,27,47167,49616,20103,6,18,4,20,145989,5,73375,62833,98069,62036,4622,25400,98910,45,24,48,157224,15,24,3,75186,38004,53850,338118,329496,143685,372290,51,954,142918,35782,36318,4,9372,366597,16056,14,0,18,0,81408,18,0,11,31,130351,24,66,91807,4,0,24,44387,0,39477,3,27915,414987,394791,7197,249029,170697,275147,90537,165651,216787,13,13173,33876,218680,22419,137762,3,23,0,390,420,320,30
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_000960278",0.884393063583815,0.884393063583815,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_000665706",0.919,0.914772727272727,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,6,3,0,12,18,3,25,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,12,0,0,0,140,0,1,4,12,1,2,2,0,0,0,7,0,3,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_001241401",0.929,0.903409090909091,348385,0,0,3,2,4,0,0,0,7,12287,2,0,0,0,0,5,2,4,3,10741,1,0,4,12,1,0,0,3,0,0,0,369,10068,0,18,91182,15,40,9,0,7,1,9213,0,1,85605,1,0,0,15,0,4,0,0,0,0,5,0,3,5,0,0,0,1,0,0,0,3,52062,10,3,7813,30097,26485,11,12218,4,2,1,3,4,1,1,0,4,0,10,5,5,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_000633917",0.959,0.953488372093023,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,40,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG01_000814803",1,1,59429,0,0,0,0,0,0,0,0,4,14376,0,0,0,0,7,0,0,2,2,3,7,0,4,18,0,3,3,3,0,0,0,0,3,3,6,18,0,0,0,1599,6,11302,4,0,9978,18,0,0,0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,9,19,0,7,8680,9,2,6,6,2,13243,0,2,0,5,0,0,0,15,15,15,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_000311251",0.971,0.931428571428571,47,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG01_000040421",0.935,0.924418604651163,671370,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,1,3,2,2,2,1,0,0,18,1,0,0,3,0,0,0,30,9,0,0,12,0,10,3,0,2,0,0,0,3,9,0,0,0,0,0,3,0,0,0,0,3,12,0,3,0,0,0,2,0,3,0,6,21,3,0,4,2,8,0,11,8,2,4,3,16346,1,2,0,0,0,249610,213730,191465,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG01_000584919",0.942,0.942196531791908,388061,1,1,3,1,2,13,3,753,41,0,7,2,4,73008,6405,11,0,1,4,1963,19641,13,1,12,1,15,33,42,9,30,0,36,222,6,21,31014,9447,209415,2631,753,9,0,12,2,0,12,1,4,0,312,0,13044,6,0,0,1,13,9,6,2307,0,6,27,1,1,3,2,14,42,2,12,9390,5714,3,7,825,4,2,0,24,7,0,5,0,1,1,335,145,180,5
"Animalia","Chordata","Teleostei","Osmeriformes",NA,NA,NA,"GG01_000614647",0.878947368421053,0.878947368421053,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","GG01_000622320",0.947,0.926553672316384,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus scaber","GG01_000058228",0.983,0.953488372093023,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0
"Animalia","Chordata","Teleostei","Perciformes",NA,NA,NA,"GG01_000903461",0.936416184971098,0.936416184971098,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_000108599",0.977,0.976744186046512,378769,0,0,4,10,19,2,0,0,5,4,0,1,0,1,1,0,0,0,39417,68602,2,0,0,0,16012,0,0,15,0,37842,0,3,3,0,0,39657,18,0,0,3,1,10111,5,1,0,54045,0,0,0,0,0,6,0,0,2,0,5,18,0,34078,0,0,0,0,0,78438,0,6,0,1,3,11,0,0,2,5,4,3,0,6,1,0,1,0,0,0,215,95,85,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG01_000012054",1,1,473503,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,9,0,3,0,6,3,0,3,39,9,10,3,0,0,0,3,0,1,0,3,0,0,0,0,0,3,0,0,0,2,0,26778,7,0,0,3,0,0,6,0,0,0,0,3,3,0,4,0,10,0,0,0,3,2,1,3,0,0,1,378355,60,68155,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG01_000121507",0.953,0.948275862068966,1400541,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,2,4,2,0,0,0,2,0,9,12,0,3,0,24,3,0,3,36,174618,10,0,9,0,0,3,1,1,33525,0,0,0,0,0,7919,0,0,0,0,7,15,0,4,0,0,0,2,0,18,0,4,24,3,0,5,1,8,0,18,1,2,1,18,1,0,1,0,0,0,419065,211965,553185,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui","GG01_000186372",0.971,0.947368421052632,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,40,5,15,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis fabricii|Liparis inquilinus|Liparis liparis","GG01_000332019",1,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,3,0,0,0,5,25,5,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_000317586",1,0.988095238095238,51081,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,39,9,5,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,3,1,50174,0,1,0,2,5,0,503,1,3,0,0,1,0,0,0,135,100,60,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_000859848",0.959770114942529,0.959770114942529,5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis ascanii","GG01_000194966",0.972,0.932960893854749,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","GG01_001137724",1,0.988095238095238,75585,0,0,0,1,1,0,0,0,10,0,1,0,0,0,0,0,0,0,1,2,5943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,16101,0,0,0,0,0,0,0,0,9459,0,0,0,0,0,0,0,6116,0,0,0,0,0,0,0,0,0,0,0,0,13040,1,0,0,0,0,0,24849,0,0,0,0,0,0,35,5,5,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GG01_000867539",0.949,0.948571428571429,1475220,0,0,5,19,18,5,0,2,34,2,11,30835,2,1,0,15930,0,13122,73223,54044,11,14,7,0,2,6,36909,216906,64851,4623,6,44130,6,24921,54,69348,45945,45,18,9,18297,1,82589,0,15055,36,2,1,3,3,0,69341,0,9,0,3,20494,6,15,55519,1,0,6,0,1,117306,1,7,104019,10,3,76666,5,8,6,168557,4,8,9013,9,40480,0,7,0,0,0,2215,205,245,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus","GG01_001268723",0.965,0.964912280701754,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","GG01_000897494",0.959,0.935672514619883,4664,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1948,1783,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda aspera","GG01_000754161",0.986,0.947368421052632,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GG01_000859903",0.977,0.959302325581395,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GG01_000261364",1,1,353,2,0,0,0,1,0,2,0,0,0,1,1,1,0,3,0,0,0,1,1,2,1,0,12,0,6,0,0,0,3,0,6,6,0,6,3,6,5,0,0,1,0,1,0,1,15,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,5,3,3,0,6,0,6,6,5,1,1,0,0,3,0,1,0,0,0,65,60,95,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG01_002333863",0.994,0.988165680473373,40792,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21026,1,0,0,2,0,0,19738,0,0,0,0,2,0,0,0,10,0,0,0
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Somateria","Somateria spp.","GG01_002742228",0.979,0.860103626943005,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia adamsii","GG01_001159162",0.983,0.955801104972376,5749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","GG01_001163630",0.989,0.988950276243094,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GG01_002865375",0.994,0.994047619047619,10616,0,0,0,0,0,0,0,0,0,0,0,10612,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","GG01_002655253",0.994,0.994047619047619,3738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3734,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","GG01_000814815",0.971,0.96551724137931,2247,0,0,0,0,0,87,352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca","GG01_002007438",0.976,0.880681818181818,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","GG01_000002347",1,1,14064,0,0,0,0,26,0,0,48,8,0,0,0,0,0,0,0,0,0,107,0,0,0,0,408,0,60,0,2097,0,0,0,0,0,0,0,5157,9,0,0,6,0,0,3912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,1,0,162,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Echinodermata","Echinoidea",NA,NA,NA,NA,"GG01_002900543",0.649746192893401,0.649746192893401,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
