"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_173","X2021614_21","X2021614_30","X2021614_34","X2021614_6","X2021614_98","X2021614_EB221121_3","X2022607_100","X2022607_103","X2022607_104","X2022607_105","X2022607_106","X2022607_107","X2022607_108","X2022607_109","X2022607_110","X2022607_111","X2022607_148","X2022607_149","X2022607_150","X2022607_152","X2022607_155","X2022607_170","X2022607_174","X2022607_176","X2022607_177","X2022607_178","X2022607_18","X2022607_181","X2022607_182","X2022607_187","X2022607_189","X2022607_198","X2022607_2","X2022607_201","X2022607_204","X2022607_206","X2022607_207","X2022607_208","X2022607_209","X2022607_21","X2022607_211","X2022607_23","X2022607_246","X2022607_25","X2022607_256","X2022607_28","X2022607_29","X2022607_3","X2022607_34","X2022607_4","X2022607_41","X2022607_51","X2022607_54","X2022607_55","X2022607_62","X2022607_63","X2022607_64","X2022607_66","X2022607_68","X2022607_70","X2022607_72","X2022607_75","X2022607_76","X2022607_8","X2022607_80","X2022607_81","X2022607_82","X2022607_83","X2022607_84","X2022607_85","X2022607_86","X2022607_87","X2022607_88","X2022607_91","X2022607_92","X2022607_93","X2022607_94","X2022607_95","X2022607_96","X2022607_97","X2022607_98","X2022607_99","X2022607_EB03062022","X2022607_EB160922_2","X2022607_EB270922","X2022607_LB08062022","X2022607_LB160922","NTC_NI","PC_NI"
NA,NA,NA,NA,NA,NA,NA,"GG01_005191724",0.843023255813954,0.843023255813954,10524,0,206,0,0,0,139,0,0,5,75,4,3,372,6,0,240,120,49,3,0,1,0,0,61,13,0,31,2,0,0,0,0,1,339,0,0,0,38,321,603,0,0,0,0,0,0,3,0,191,0,0,330,72,49,25,1,61,30,189,0,1,17,11,0,0,1,76,57,56,99,0,4111,16,49,0,0,24,70,17,2049,0,73,214,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_001336492",1,0.754010695187166,98760,0,237,85,238,10,21,2,161,142,1108,396,8,109,304,9,281,849,568,184,246,15652,768,221,9,60,693,205,17,188,1219,179,12,169,136,290,1241,160,31,439,16,19,0,0,1916,3207,153,1017,1980,7,1,352,7501,123,1427,7,61,5,22,130,52,844,1423,2207,1220,9,1396,716,564,23,1388,528,1428,100,53,3661,28,347,107,8403,173,464,4,598,0,28149,3,121,160,0,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_005487318",0.94,0.792134831460674,134095,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,14,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130931
"Animalia","Chordata","Teleostei",NA,NA,NA,NA,"GG01_003409766",0.879310344827586,0.879310344827586,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,10,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_002851191",0.943,0.948275862068966,1145868,10790,2,0,0,0,53945,4,0,23611,28298,16863,2,27874,20543,18911,972,12506,14414,5075,4777,12808,5505,6982,4027,29411,1,0,9747,5375,2128,0,6281,7573,25313,0,4870,4609,0,4,1928,21920,8208,1,1,45124,0,49743,21723,16474,0,27755,27872,10767,36874,10328,42309,26458,38311,18959,85410,28339,12900,26720,4126,31918,15786,27906,1,1,4972,3243,5,19444,1847,32324,20801,5348,27483,12720,1,2188,5204,9193,2,1,0,4,2,1,2
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_001650602",0.866279069767442,0.866279069767442,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_003284393",0.906,0.896551724137931,5563694,3680,7084,0,0,0,32830,5,3158,141900,66397,2690,88214,52777,24543,141066,19222,8492,35739,65198,42219,93468,43155,111328,45932,87070,36447,11714,24609,64142,72936,34760,49796,139439,322211,4,200414,156017,146151,289469,186733,109369,439880,3,0,128429,1,154489,15313,238784,2,69066,79127,56982,57073,111944,50969,13456,61764,21802,103363,31813,31613,33485,35137,52787,17120,24978,20823,20103,28209,3634,58083,171,7671,129414,35712,19470,148897,51392,30630,120421,3,24962,26,4,16,1,3,3,74288
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_001432323",0.907,0.87719298245614,224553,0,0,0,0,0,0,0,1,0,9446,2,16525,0,0,0,0,12739,0,5826,1,0,0,0,1,7952,8359,0,3715,2032,0,28276,10865,7257,5054,0,1,11465,15231,0,11463,0,0,0,1,4,0,0,3668,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,17749,3,0,31671,0,0,0,0,0,11800,0,3436,2,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_000595660",0.908,0.903954802259887,165,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,1,1,1,0,0,3,5,0,1,3,16,0,7,9,13,10,12,1,18,0,0,2,0,23,0,1,0,3,1,1,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_000668749",0.935,0.898876404494382,1695,0,0,0,0,0,0,0,0,31,9,0,11,6,3,35,5,0,0,11,8,20,10,5,2,14,3,0,7,27,11,1,5,45,176,0,196,48,50,133,165,30,182,0,0,41,0,34,2,63,0,15,15,3,6,21,4,0,6,0,19,7,8,5,3,43,1,1,0,1,5,0,10,0,0,22,1,0,32,9,1,19,0,7,0,0,0,0,0,0,42
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG01_000335496",1,0.913793103448276,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","GG01_000334371",1,0.86046511627907,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_001908653",1,0.88953488372093,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_000527712",1,0.88953488372093,9843,0,0,0,0,0,0,0,0,0,0,0,9842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_005483647",0.953,0.854651162790698,253083,0,1,0,1,0,0,2,0,0,0,0,0,0,5754,0,0,0,25006,629,1,0,0,0,18350,2250,0,16415,4,1,6412,11833,8928,1,0,0,1,0,1,2,2,0,11,0,0,2802,0,0,10,4561,0,21751,1,0,420,0,16994,0,2823,0,25870,0,0,0,0,537,0,0,0,0,749,0,0,0,0,311,0,0,219,0,0,1800,557,0,0,1,1,0,0,0,78071
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_001319811",0.966,0.96551724137931,348779,0,1,0,0,0,8288,1,0,10533,12097,0,11563,0,0,0,705,0,0,0,0,0,4750,601,7253,10331,0,0,0,1153,0,11147,3339,12078,1994,0,5949,12882,1772,492,1424,5038,3232,0,0,5234,0,2755,0,633,0,2399,1567,13854,2,13422,0,4,0,10326,0,3,0,1,6857,3522,4813,0,0,0,2428,0,0,0,3042,29610,12667,2384,28955,6359,7493,63819,0,2,0,0,4,0,1,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG01_000029372",0.965,0.965317919075145,392786,4266,0,0,0,0,54639,0,4480,9255,21265,2,9368,6830,2560,0,891,0,5157,0,7741,4513,11447,1498,1,0,3869,5337,1079,7317,13582,0,6600,5127,3957,0,14948,9582,11365,1442,3891,1910,1564,1,1,5134,0,4910,0,0,0,1957,12,17745,10238,0,0,5868,5286,11914,6789,1,14607,1,10067,1,6127,2,5195,0,6586,6615,4090,0,1623,0,0,0,7443,9927,11354,3799,8,0,0,1,1,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GG01_001909690",1,1,9136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275,0,0,2,4060,0,0,0,0,0,0,0,0,0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_000574926",0.992,0.936416184971098,20506,0,0,0,0,0,0,0,0,0,0,0,9032,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6005,103,0,0,0,3379,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,5,0,0,1,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","GG01_000159105",0.994,0.994082840236686,12612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12606,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG01_003970496",0.942,0.92485549132948,41713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785,3364,3537,0,0,0,0,2,0,0,3,2,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3132,0,0,4201,0,0,6157,0,0,0,0,0,0,0,0,0,0,0,18515
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Molva","Molva molva","GG01_002200140",0.994,0.994186046511628,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus","GG01_000723219",0.917,0.925287356321839,2547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Crystallogobius","Crystallogobius linearis","GG01_000721955",1,1,41871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,1,4518,0,0,0,0,0,0,0,3589,0,0,2263,14605,342,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8577,0,0,0,0,0,7011,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","GG01_000984599",1,1,14974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14968,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG01_000000224",0.994,0.994047619047619,3403507,27439,5,0,0,0,7513,1,0,0,0,0,3,10,0,1,0,1,39333,18657,6359,31888,17322,41,6,2,6382,0,57610,1717,13337,0,6165,6351,390825,0,4095,14793,15818,35490,4879,233978,26701,15,0,54653,0,37596,106836,540696,0,502215,8189,1728,18296,397,37898,26146,35406,5967,71715,85178,146715,158903,107450,359523,3,0,14424,1227,3642,1,3,1,517,3674,0,1271,0,0,1,2,19592,0,33,0,11,0,0,0,86861
"Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Agonus","Agonus cataphractus","GG01_000018645",1,0.93491124260355,40976,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29278,0,0,0,11683,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus","GG01_005005414",0.948,0.936781609195402,14119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","GG01_002660100",0.912,0.906976744186046,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
