"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_173","X2021614_21","X2021614_30","X2021614_34","X2021614_6","X2021614_98","X2021614_EB221121_3","X2022607_100","X2022607_103","X2022607_104","X2022607_105","X2022607_106","X2022607_107","X2022607_108","X2022607_109","X2022607_110","X2022607_111","X2022607_148","X2022607_149","X2022607_150","X2022607_152","X2022607_155","X2022607_170","X2022607_174","X2022607_176","X2022607_177","X2022607_178","X2022607_18","X2022607_181","X2022607_182","X2022607_187","X2022607_189","X2022607_198","X2022607_2","X2022607_201","X2022607_204","X2022607_206","X2022607_207","X2022607_208","X2022607_209","X2022607_21","X2022607_211","X2022607_23","X2022607_246","X2022607_25","X2022607_256","X2022607_28","X2022607_29","X2022607_3","X2022607_34","X2022607_4","X2022607_41","X2022607_51","X2022607_54","X2022607_55","X2022607_62","X2022607_63","X2022607_64","X2022607_66","X2022607_68","X2022607_70","X2022607_72","X2022607_75","X2022607_76","X2022607_8","X2022607_80","X2022607_81","X2022607_82","X2022607_83","X2022607_84","X2022607_85","X2022607_86","X2022607_87","X2022607_88","X2022607_91","X2022607_92","X2022607_93","X2022607_94","X2022607_95","X2022607_96","X2022607_97","X2022607_98","X2022607_99","X2022607_EB03062022","X2022607_EB160922_2","X2022607_EB270922","X2022607_LB08062022","X2022607_LB160922","NTC_NI","PC_NI"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi","GG01_003356381",0.994,0.952662721893491,24330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_000489878",1,0.95906432748538,1296259,0,3,3,0,1,1,6,0,17151,16030,21163,0,38780,17100,948,3037,25139,27131,37813,20565,29415,19069,20159,17057,6573,7458,4855,13,750,3663,29859,14413,4312,14972,0,19364,8588,4062,1122,37171,88476,36027,0,0,45415,0,43970,23,31743,0,5788,4666,2,513,2956,26812,29435,23048,3779,57727,4,1,4,0,27545,16123,5327,27587,6264,15992,688,4,858,2898,5101,43879,38696,30139,20456,43745,10021,4414,1,5,0,3,2,0,0,128376
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG01_000063374",1,1,305309,0,6,0,0,0,0,1,0,0,0,0,0,23732,0,0,14494,0,28076,0,0,9808,0,12323,17305,19352,14945,0,0,0,0,17734,8625,4,0,0,2733,10003,1,6087,4,0,16,0,0,12019,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,6077,0,0,0,0,0,6906,13593,0,0,0,10421,0,0,0,0,0,0,0,3,0,0,0,71026
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis","GG01_001206099",1,0.988095238095238,79432,0,0,0,0,0,0,0,0,0,0,17848,1,0,0,0,0,21316,0,0,0,8021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32237,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG01_000020875",1,1,727199,0,7,0,0,0,0,3,0,16160,0,0,1,27639,26131,1,1,0,90914,26871,0,38523,27204,4783,9,0,15344,3,6,3445,8835,0,23499,10361,9,0,3,0,14831,2,24763,0,9876,1,0,5,0,21747,12,1,0,0,22234,0,2,2,0,0,0,17359,47465,0,1,4,0,28663,0,27962,0,1,6547,3843,2,0,0,10203,12944,22882,0,7536,50738,0,0,0,0,0,3,0,0,0,77818
"Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","GG01_003276127",1,1,3944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui","GG01_000366815",0.93,0.929824561403509,124963,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26428,0,0,0,27889,0,18303,0,1,1,0,0,0,5,11390,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,11930,0,0,3,0,0,0,0,0,28995,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_003811191",0.928994082840237,0.928994082840237,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG01_000984596",1,0.994082840236686,161132,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1269,0,0,0,0,3,12150,0,0,0,0,0,0,0,3,0,0,2,1,0,3,3,0,11,0,1,16254,0,0,8,0,0,0,1,0,2573,0,0,0,19193,0,0,0,0,0,0,0,0,0,0,0,2813,1,0,0,0,3471,0,0,1550,0,0,4516,4972,0,0,0,0,0,0,0,92331
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes polaris","GG01_005537554",0.976,0.964497041420118,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","GG01_002061511",0.994,0.935672514619883,29348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7113,0,0,0,0,0,0,0,0,0,0,0,1,0,22234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","GG01_001316246",1,0.988095238095238,15780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5090,0,0,0,0,0,0,0,0,0,0,489
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GG01_005502174",0.903,0.906976744186046,54172,0,0,0,0,0,0,2,0,1791,0,0,0,0,1443,0,0,0,0,0,0,2642,0,733,0,9609,0,0,0,1892,0,0,1,0,967,0,1,0,0,1,0,0,1165,0,0,2268,0,0,0,3,0,0,0,0,0,0,0,8532,4986,1,0,0,2955,1,0,0,5096,0,0,0,3,240,6197,0,11,0,0,2950,0,0,0,658,0,0,1,1,0,0,0,0,22
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","GG01_001914369",0.942,0.919075144508671,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus","GG01_000857703",0.912,0.912280701754386,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1789,0,6,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,14,0,1,7,0,0,0,0,0,0,0,0,1
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GG01_001286947",0.963,0.947058823529412,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,1,0,21,0,6,3,0,0,2,3,0,4,5,6,0,0,4,3,13,3,10,4,0,0,13,0,10,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,23,0,0,13,0,0,0,0,0,0,0,0,41
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG01_000148056",1,1,4223103,1,2,0,0,0,0,6,10,12167,17971,33939,2,47236,11694,20851,37910,47069,14175,50872,51719,48036,0,270236,24,320356,38680,0,24,56941,43733,17598,10794,40849,74287,0,12,63179,3862,71287,22228,47087,18704,2,0,62461,0,44231,4190,95667,0,0,39,6,13,14355,7238,27166,88446,6,9,0,34716,37127,0,59648,18626,1,26742,47828,39,24157,20827,16,1019,613462,91258,25888,596198,7928,63455,509934,0,40899,17,17,11,5,0,1,165914
"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus punctatus","GG01_000000501",1,0.900584795321637,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,NA,"GG01_002603165",0.895348837209302,0.895348837209302,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,2,0,0,1,3,0,0,1,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GG01_000441300",0.942,0.942196531791908,11790141,2,11,3,1,1,1,17,13,353871,244194,45213,138877,309572,17406,92796,100703,68333,116465,79176,83747,180381,140500,462770,636365,312312,509421,608524,11114,365854,534528,483524,481708,302352,15475,5,694542,516062,350182,277113,398484,22200,295666,20,4,20052,0,4409,12300,19494,0,44019,105,19,12874,23,4,15,8023,0,13,12177,3,23,0,38766,214176,303284,51440,190296,229629,64651,212715,243190,16196,212290,123678,40915,139907,63994,12385,160694,43250,44515,31,11,23,12,9,0,1023
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus","GG01_002607550",0.994,0.994117647058824,17609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17098,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG01_002966750",0.953,0.936046511627907,37078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5153,1,0,0,0,0,0,0,0,0,0,9787,4,0,2,0,0,0,6917,0,0,0,0,0,0,0,0,4695,0,0,2,0,0,0,0,0,0,0,10517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta americana","GG01_002949413",0.995,0.884210526315789,756,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","GG01_002610683",1,1,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GG01_005311430",1,1,8524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","GG01_002684524",1,1,3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","GG01_000226244",1,0.988165680473373,26514,0,0,0,0,0,0,0,0,0,0,0,0,8089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,1,0,5779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,0,1574,0,0,0,8244,0,0,0
"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus","GG01_000065624",1,1,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca","GG01_005341078",0.908,0.844827586206897,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus obliquidens","GG01_000527766",0.941,0.905882352941176,8216,0,0,0,0,0,0,0,0,0,0,0,8216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae","GG01_001376066",0.994,0.988304093567251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris","GG01_000068361",0.994,0.988372093023256,2577,0,0,1,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,64,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,441,0,0,0,54,27,12,24,0,0,0,249,13,109,439,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","GG01_000063519",1,1,24591,0,0,0,0,0,2,0,0,351,57,0,2088,0,26,1248,210,232,1661,2208,0,323,26,0,15,0,1567,0,0,52,185,0,13,36,948,0,151,0,114,0,31,49,109,0,0,54,0,378,286,421,0,3,40,89,23,0,23,290,961,278,336,157,114,2206,39,3,0,2173,0,128,1999,8,128,570,490,1034,0,390,20,0,0,248,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Physeteridae","Physeter","Physeter catodon","GG01_001279235",0.994,0.982248520710059,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Echinodermata","Echinoidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","GG01_000957625",0.988,0.682539682539683,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Echinodermata","Echinoidea",NA,NA,NA,NA,"GG01_004836958",0.711864406779661,0.711864406779661,4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4843
